"upeople_id","X72scmChanges","X263scmChanges","X293scmChanges","X77scrChanges","X212scrChanges","X391scrChanges","X1mslChanges","number_of_domain","country","X72linesadded","X72linesremoved","X263linesadded","X263linesremoved","X293linesadded","X293linesremoved","X77ReviewGotMerged","X212ReviewGotMerged","X391ReviewGotMerged","X","in_degree","out_degree","degree","betweenness","clustcoeff","closeness","eigencentrality"
379632,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0.008,0.00035549491925867
379635,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0.008,0.00035549491925867
379637,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0.008,0.00035549491925867
379670,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0.008,0.00035549491925867
379684,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.008,0.00035549491925867
379701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0.008,0.00035549491925867
379807,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.008,0.00035549491925867
379837,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0.008,0.00035549491925867
379845,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0.008,0.00035549491925867
379900,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0.008,0.00035549491925867
379923,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0.008,0.00035549491925867
380730,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0.008,0.00035549491925867
380752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0.008,0.00035549491925867
381254,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0.008,0.00035549491925867
381698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0.008,0.00035549491925867
382374,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0.008,0.00035549491925867
383224,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0.008,0.00035549491925867
383631,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0.008,0.00035549491925867
386086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0.008,0.00035549491925867
386146,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.008,0.00035549491925867
386882,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0.008,0.00035549491925867
387140,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0.008,0.00035549491925867
388687,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0.008,0.00035549491925867
395073,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0.008,0.00035549491925867
398473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0.008,0.00035549491925867
